AvgDialog_8232_Content_19,aqFh,avgV1.3萨尔瓦多大型支线_AvgDialog_C_M.csv,26,AvgDialog,Content,索菲亚,<Blue:萨尔瓦多主教>主持仪式的时候大家都格外热情，我也只是比较有准备而已。,"The crowd was especially enthusiastic during <Blue:Bishop Salvador's> ceremony. Simply more prepared, that's all."
AvgDialog_8232_Content_20,aqFj,avgV1.3萨尔瓦多大型支线_AvgDialog_C_M.csv,27,AvgDialog,Content,索菲亚,下次你们来的时候，我偷偷给你们留个位子，这样你们就不用发愁啦。,"Next time you come, I'll reserve a spot for you in secret, so you won't have to worry about all that."
AvgDialog_8232_Content_21,aqFk,avgV1.3萨尔瓦多大型支线_AvgDialog_C_M.csv,28,AvgDialog,Content,奥吉尔,这、这样是可以的么？对其他人会不会不太公平……,Is... is this alright? Wouldn't it be unfair to the others...?
AvgDialog_8232_Content_22,aqFl,avgV1.3萨尔瓦多大型支线_AvgDialog_C_M.csv,29,AvgDialog,Content,索菲亚,那个人对你很重要吧？你为之祈福的人。,Is that person important to you? The one you pray for.
AvgDialog_8232_Content_23,aqFm,avgV1.3萨尔瓦多大型支线_AvgDialog_C_M.csv,30,AvgDialog,Content,,奥吉尔眼神飘忽，似乎看了你一眼，然后重重地点头。,"Ogier's eyes flicker toward you for a moment, before nodding heavily."
AvgDialog_8232_Content_24,aqFn,avgV1.3萨尔瓦多大型支线_AvgDialog_C_M.csv,31,AvgDialog,Content,索菲亚,"那么，这个就当做我们之间的秘密吧？
像你这样虔心又虔诚的孩子，父神肯定也很乐意给予一些优待的。","Alright, let's keep this as our little secret, okay?\nSurely a devout and sincere child like you will receive some special favors from the Father."
AvgDialog_8232_Content_25,aqFo,avgV1.3萨尔瓦多大型支线_AvgDialog_C_M.csv,32,AvgDialog,Content,奥吉尔,如果是这样的话……,If that's the case...
AvgDialog_8232_Content_26,aqFp,avgV1.3萨尔瓦多大型支线_AvgDialog_C_M.csv,33,AvgDialog,Content,奥吉尔,？！,?!
AvgDialog_8232_Content_27,aqFq,avgV1.3萨尔瓦多大型支线_AvgDialog_C_M.csv,34,AvgDialog,Content,,一声尖叫打断了你们的对话，听到声音的人们也停下脚步，往声音发出的方向张望。,A scream interrupts your conversation. Those who hear it whip their heads toward the source.
AvgDialog_8232_Content_28,aqFr,avgV1.3萨尔瓦多大型支线_AvgDialog_C_M.csv,35,AvgDialog,Content,,广场的一角似乎乱了起来，不少人围成一个圈，其中隐约能听到争执的声音。,"A corner of the square seems to be in chaos, gathering a crowd near the faint sounds of arguing."
AvgDialog_8232_Content_29,aqFs,avgV1.3萨尔瓦多大型支线_AvgDialog_C_M.csv,36,AvgDialog,Content,中年人,……你……警局……！,...You... police station...!
AvgDialog_8232_Content_30,aqFu,avgV1.3萨尔瓦多大型支线_AvgDialog_C_M.csv,37,AvgDialog,Content,年轻男人,有罪……我……<Yellow:净化>……！,Guilty... I... <Yellow:Purify>...!
AvgDialog_8232_Content_31,aqFv,avgV1.3萨尔瓦多大型支线_AvgDialog_C_M.csv,38,AvgDialog,Content,索菲亚,那边那是怎么了？不会打起来吧……,What's going on over there? Is there a fight breaking out...?
AvgDialog_8232_Content_32,aqFw,avgV1.3萨尔瓦多大型支线_AvgDialog_C_M.csv,39,AvgDialog,Content,玩家,我们去看看。,Let's go and take a look.
AvgDialog_8232_Content_33,aqFx,avgV1.3萨尔瓦多大型支线_AvgDialog_C_M.csv,40,AvgDialog,Content,索菲亚,这……,This...
AvgDialog_8232_Content_34,aqFy,avgV1.3萨尔瓦多大型支线_AvgDialog_C_M.csv,41,AvgDialog,Content,玩家,放心，索菲亚小姐，这种事情我们可以说是经验丰富了。,"Rest assured, Miss Sophia, we are quite experienced in such matters."
AvgDialog_8232_Content_35,aqFz,avgV1.3萨尔瓦多大型支线_AvgDialog_C_M.csv,42,AvgDialog,Content,索菲亚,……好吧。我马上通知主教，你们小心点，遇到危险就回来，好吗？,"...Alright. I'll notify the bishop right away. Be careful, and come back straight away if you encounter anything remotely dangerous, okay?"
AvgDialog_8232_Content_36,aqFA,avgV1.3萨尔瓦多大型支线_AvgDialog_C_M.csv,43,AvgDialog,Content,奥吉尔,我们会注意的。,We'll keep an eye on it.
AvgDialog_8232_Content_37,aqFB,avgV1.3萨尔瓦多大型支线_AvgDialog_C_M.csv,44,AvgDialog,Content,,你们分开人群，终于来到了骚乱的中心，也终于看清了当事人的模样。,"Pushing through the crowd, you finally reach the center of the commotion, getting a clear look at those involved."
AvgDialog_8232_Content_38,aqFC,avgV1.3萨尔瓦多大型支线_AvgDialog_C_M.csv,45,AvgDialog,Content,,被抓住的年轻人眼眶泛青，脸颊深陷，上身几乎完全赤裸，双臂和胸腹满是一道一道的淤痕，看上去像是棍子留下的。,"An entirely shirtless young man with sunken cheeks and bruised eye sockets is in the center of the crowd. Blotchy welts cover his arms and chest, seemingly left by a stick."
AvgDialog_8232_Content_39,aqFD,avgV1.3萨尔瓦多大型支线_AvgDialog_C_M.csv,46,AvgDialog,Content,,他一边挣扎，一边大喊。,"He struggles against the other man, shouting at the top of his lungs."
AvgDialog_8232_Content_40,aqFF,avgV1.3萨尔瓦多大型支线_AvgDialog_C_M.csv,47,AvgDialog,Content,年轻男人,"我骗了她们，骗了她们所有人！我有罪，我下作！
鞭打我吧，让我流血，让我流出我的罪孽，求你了！！","I deceived them, all of them! I am guilty! Despicable!\nWhip me, bleed me for my sins, I beg of you!"
AvgDialog_8232_Content_41,aqFG,avgV1.3萨尔瓦多大型支线_AvgDialog_C_M.csv,48,AvgDialog,Content,中年人,"别乱动，疯子！
警察呢？有没有人去叫警察了？","Don't move, you maniac!\nWhere are the police? Has anyone called them?"
AvgDialog_8232_Content_42,aqFH,avgV1.3萨尔瓦多大型支线_AvgDialog_C_M.csv,49,AvgDialog,Content,年轻男人,警察？不，不……他们只会把我关起来，不会给我真正的惩罚，<Yellow:审判之日>要到了，<Yellow:无罪的净土>将要降临，再不<Red:净化>就来不及了！,"Police? No, no... They'd only throw me in prison, not deliver me true punishment. <Yellow:Judgment Day> is approaching, and the arrival of the <Yellow:Innocent Haven> is at hand. We cannot delay <Red:Purification> any longer!"
AvgDialog_8232_Content_43,aqFI,avgV1.3萨尔瓦多大型支线_AvgDialog_C_M.csv,50,AvgDialog,Content,年轻男人,放开我，放开我！,"Let go of me! let go, damn you!"
AvgDialog_8232_Content_44,aqFJ,avgV1.3萨尔瓦多大型支线_AvgDialog_C_M.csv,51,AvgDialog,Content,,他猛地抬头，一口咬住了中年男人抓着自己的手。,"Suddenly, he looks up, biting the hand of the middle-aged man that was grabbing him."
AvgDialog_8232_Content_45,aqFK,avgV1.3萨尔瓦多大型支线_AvgDialog_C_M.csv,52,AvgDialog,Content,中年人,啊！,Ah!
AvgDialog_8232_Content_46,aqFL,avgV1.3萨尔瓦多大型支线_AvgDialog_C_M.csv,53,AvgDialog,Content,,男人的手一松，年轻人便转身冲向了围观的人群。,"The man's grip loosens and the young man turns, dashing into the crowd."
AvgDialog_8232_Content_47,aqFM,avgV1.3萨尔瓦多大型支线_AvgDialog_C_M.csv,54,AvgDialog,Content,,奥吉尔赶忙伸出长枪在他脚下一绊。年轻人扑倒在地，你趁机反剪他的手臂，将他按在地上。,"Ogier quickly extends his spear. The man trips, falling to the ground, and you seize the opportunity to hold his arms behind his back and pin him."
AvgDialog_8232_Content_48,aqFN,avgV1.3萨尔瓦多大型支线_AvgDialog_C_M.csv,55,AvgDialog,Content,年轻男人,放开我，让我净化！让我净化！,Let go of me! I need to be purified! I need to be purified!
AvgDialog_8232_Content_49,aqFO,avgV1.3萨尔瓦多大型支线_AvgDialog_C_M.csv,56,AvgDialog,Content,？？？,这是怎么回事？,What's going on?
AvgDialog_8232_Content_50,aqFQ,avgV1.3萨尔瓦多大型支线_AvgDialog_C_M.csv,57,AvgDialog,Content,,沉稳的声音在你们身后响起，围绕在周围的议论声逐渐变小直至停歇，人们自动让开了一条路，让身穿黑色神职长袍的主教可以顺利通行。,"A steady voice sounds behind you, and the surrounding din fades away into silence. The crowds part to make way for the bishop in a black clerical robe."
AvgDialog_8232_Content_51,aqFR,avgV1.3萨尔瓦多大型支线_AvgDialog_C_M.csv,58,AvgDialog,Content,,萨尔瓦多主教蒙着双眼，却如能视物一般准确地向你们走来。满脸忧色的索菲亚紧随其后。,"Bishop Salvador, blindfolded, walks towards you with an uncanny grace and accuracy. Sofia, with her face filled with worry, follows closely behind."
AvgDialog_8232_Content_52,aqFS,avgV1.3萨尔瓦多大型支线_AvgDialog_C_M.csv,59,AvgDialog,Content,年轻男人,索菲亚……<Big:索菲亚！>,Sophia... <Big:Sophia!>
AvgDialog_8232_Content_53,aqFT,avgV1.3萨尔瓦多大型支线_AvgDialog_C_M.csv,60,AvgDialog,Content,,年轻人突然激动起来，他以出乎你意料的力量挣脱了你的牵制，扑到索菲亚身前——,"The young man — suddenly agitated — breaks free of your grip with an unexpected strength, lunging toward her—"
AvgDialog_8232_Content_54,aqFU,avgV1.3萨尔瓦多大型支线_AvgDialog_C_M.csv,61,AvgDialog,Content,奥吉尔,小心！,Watch out!
AvgDialog_8232_Content_55,aqFV,avgV1.3萨尔瓦多大型支线_AvgDialog_C_M.csv,62,AvgDialog,Content,,然后猛地跪了下去。,He abruptly kneels.
AvgDialog_8232_Content_56,aqFW,avgV1.3萨尔瓦多大型支线_AvgDialog_C_M.csv,63,AvgDialog,Content,年轻男人,索菲亚，索菲亚，我知道错了索菲亚，求求你净化我吧！,"Sophia, Sophia, I know I was wrong, Sophia. Please purify me!"
AvgDialog_8232_Content_57,aqFX,avgV1.3萨尔瓦多大型支线_AvgDialog_C_M.csv,64,AvgDialog,Content,索菲亚,爱、爱德华……？,"Love, Edward...?"
AvgDialog_8232_Content_58,aqFY,avgV1.3萨尔瓦多大型支线_AvgDialog_C_M.csv,65,AvgDialog,Content,爱德华,是我，是我！我不该欺骗<Yellow:你姐姐>的，我后悔了，我真的后悔了！,"It's me, it's me! I shouldn't have deceived <Yellow:your sister>, I regret it, I really, truly regret it!"
AvgDialog_8232_Content_59,aqFZ,avgV1.3萨尔瓦多大型支线_AvgDialog_C_M.csv,66,AvgDialog,Content,,他一边哭，一边用膝行着向前，用极为别扭的姿势不断朝索菲亚鞠躬。,"He crawls forward on his knees, crying and bowing awkwardly."
AvgDialog_8232_Content_60,aqGb,avgV1.3萨尔瓦多大型支线_AvgDialog_C_M.csv,67,AvgDialog,Content,爱德华,"恶魔蒙蔽了我的双眼，污染了我的灵魂，求你鞭打我，净化我吧！
<Yellow:审判>将至，我不想被<Yellow:无罪的净土>驱逐在外啊！","The devil has blinded my eyes and tainted my soul! Please, whip me, purify me!\n<Yellow:Judgment> is approaching us! I don't want to be cast out of the <Yellow:Innocent Haven>!"
AvgDialog_8232_Content_61,aqGc,avgV1.3萨尔瓦多大型支线_AvgDialog_C_M.csv,68,AvgDialog,Content,索菲亚,冷静点，爱德华，你到底在说什么呀？,"Calm down, Edward. What one earth are you referring to, exactly?"
AvgDialog_8232_Content_62,aqGd,avgV1.3萨尔瓦多大型支线_AvgDialog_C_M.csv,69,AvgDialog,Content,爱德华,求你了，索菲亚！,"Please, Sophia!"
AvgDialog_8232_Content_63,aqGe,avgV1.3萨尔瓦多大型支线_AvgDialog_C_M.csv,70,AvgDialog,Content,萨尔瓦多,爱德华，停下吧。,"Edward, stop."
AvgDialog_8232_Content_64,aqGf,avgV1.3萨尔瓦多大型支线_AvgDialog_C_M.csv,71,AvgDialog,Content,,年轻人保持着鞠躬的姿势抬起头，怔怔地望向萨尔瓦多。,"The young man, still bowed, raises his head and looks toward Salvador in a daze."
AvgDialog_8232_Content_65,aqGg,avgV1.3萨尔瓦多大型支线_AvgDialog_C_M.csv,72,AvgDialog,Content,爱德华,主……教……？,Bishop...?
AvgDialog_8232_Content_66,aqGh,avgV1.3萨尔瓦多大型支线_AvgDialog_C_M.csv,73,AvgDialog,Content,,一道耀目的光在你的视线边缘一闪而过，你还没完全将残留的光斑从眼睛里眨去，就听到爱德华趋向癫狂的声音。,"A dazzling flash of light streaks across the edges of your vision. Before you can even blink away the residual spots left behind, you hear Edward's voice teetering on the brink of madness."
AvgDialog_8232_Content_67,aqGi,avgV1.3萨尔瓦多大型支线_AvgDialog_C_M.csv,74,AvgDialog,Content,爱德华,"不……不是……你也是<Red:罪人>，我们都是<Red:罪人>！
忏悔，净化！不然我们都将在无尽苦海中燃烧！","No... no... you too are a <Red:sinner>, we are all but mere <Red:sinners>!\nRepent and purify yourselves! Lest we burn in the endless sea of suffering!"
AvgDialog_8232_Content_69,aqGk,avgV1.3萨尔瓦多大型支线_AvgDialog_C_M.csv,76,AvgDialog,Content,,"年轻人的身体晃了晃，直直地倒在了地上。
奥吉尔默默收起了用来敲晕他的长枪，转头看向你。","The young man's body falters for a moment, before falling straight to the ground with a heavy thud.\nOgier silently puts away his spear, turning to look at you."
AvgDialog_8232_Content_70,aqGm,avgV1.3萨尔瓦多大型支线_AvgDialog_C_M.csv,77,AvgDialog,Content,玩家,在他伤害到其他人前，先把他带到安全的地方吧。然后把警察叫来，让专业的人处理他。,Get him to safety before he hurts anyone else. Call the police and let the professionals handle it.
AvgDialog_8232_Content_71,aqGn,avgV1.3萨尔瓦多大型支线_AvgDialog_C_M.csv,78,AvgDialog,Content,萨尔瓦多,"先让他在圣堂休息吧，那里现在没有人。
希望他醒来之后能清醒一些。","Let him rest in the church for now; it's empty in there.\nHopefully, he will be of a more sound mind when he eventually wakes."
AvgDialog_8232_Content_72,aqGo,avgV1.3萨尔瓦多大型支线_AvgDialog_C_M.csv,79,AvgDialog,Content,,他蹲下身，和你一起将爱德华从地上扶起来，架在肩上。,"He crouches down, helping you lift Edward off the ground and onto his shoulder."
AvgDialog_8232_Content_73,aqGp,avgV1.3萨尔瓦多大型支线_AvgDialog_C_M.csv,80,AvgDialog,Content,索菲亚,我在这里再待一会儿，看看有没有被爱德华吓到或者弄伤的人需要帮助。,I'll stay here a little while longer to see if anyone needs respite from Edward's turn.
AvgDialog_8232_Content_74,aqGq,avgV1.3萨尔瓦多大型支线_AvgDialog_C_M.csv,81,AvgDialog,Content,,你点点头，正要转身，视线边缘再次闪过与方才相似的光。,"You nod, but before you can turn around, that same light as before once more sears the edge of your vision. "
AvgDialog_8232_Content_75,aqGr,avgV1.3萨尔瓦多大型支线_AvgDialog_C_M.csv,82,AvgDialog,Content,玩家,？,?
AvgDialog_8232_Content_76,aqGs,avgV1.3萨尔瓦多大型支线_AvgDialog_C_M.csv,83,AvgDialog,Content,萨尔瓦多,"还好吗，%player%？
如果身体不适，我一个人就可以了。","Are you quite well, %player%?\nIf you're feeling ill, I can handle it by myself."
AvgDialog_8232_Content_77,aqGt,avgV1.3萨尔瓦多大型支线_AvgDialog_C_M.csv,84,AvgDialog,Content,玩家,"没什么，大概是被玻璃反光晃到眼睛了。
我们走吧。","It's...it's nothing, probably just dazzled by the glass reflection, that's all.\nLet's go."
AvgDialog_38727_Content_1,aktI,avgV1.3萨尔瓦多大型支线_AvgDialog_C_M.csv,85,AvgDialog,Content,,血腥的符号,Blood Sigil
AvgDialog_38727_Content_2,aktT,avgV1.3萨尔瓦多大型支线_AvgDialog_C_M.csv,86,AvgDialog,Content,,木门缓缓合上，将小贩的叫卖与人群的喧嚣都隔绝在外，静谧之中，你不由得放轻了呼吸。,"The wooden door slowly closes behind you, shutting out the vendors' cries and the clamor of the busy crowds. You cannot help but breathe in the solace of the silence."
AvgDialog_38727_Content_3,akue,avgV1.3萨尔瓦多大型支线_AvgDialog_C_M.csv,87,AvgDialog,Content,奥吉尔,主教阁下，水来了。,"Your Excellency, the water you asked for."
AvgDialog_38727_Content_4,akup,avgV1.3萨尔瓦多大型支线_AvgDialog_C_M.csv,88,AvgDialog,Content,萨尔瓦多,谢谢你，奥吉尔。,"Thank you, Ogier."
AvgDialog_38727_Content_5,akuy,avgV1.3萨尔瓦多大型支线_AvgDialog_C_M.csv,89,AvgDialog,Content,,萨尔瓦多从口袋里拿出一块洁白的手帕，在奥吉尔拿来的水桶里沾湿后，一点点将爱德华身上沾染的尘土擦去。,"Salvador takes a clean handkerchief from his pocket and wets it in the bucket filled with water, beginning to carefully wipe the dust from Edward's skin."
AvgDialog_38727_Content_6,akuz,avgV1.3萨尔瓦多大型支线_AvgDialog_C_M.csv,90,AvgDialog,Content,,微湿的布料拂过胸膛，将你的视线引向了根根分明的肋骨——他太瘦了，瘦得像是刚刚经历了一场大饥荒。,"A slightly damp cloth brushes across his chest, drawing your gaze to his prominently visible ribs — he is far too thin, as if he has just survived a great famine."
AvgDialog_38727_Content_7,akuA,avgV1.3萨尔瓦多大型支线_AvgDialog_C_M.csv,91,AvgDialog,Content,爱德华,<Small:……罪恶……的血液……净化……>,<Small:...Sinful... blood... purification...>
AvgDialog_38727_Content_8,akuB,avgV1.3萨尔瓦多大型支线_AvgDialog_C_M.csv,92,AvgDialog,Content,,流血、罪恶……虽然你对<Blue:生命教廷>的<Blue:《圣典》>并不熟悉，但这种颇为血腥的概念，与你对这个宗教的印象十分不符。,"Blood, sin... Although you're not familiar with <Blue:Chantry of Life>'s <Blue:""Holy Scriptures"">, these sanguinary concepts don't seem to match your first impressions of this religion."
AvgDialog_38727_Content_9,akuC,avgV1.3萨尔瓦多大型支线_AvgDialog_C_M.csv,93,AvgDialog,Content,玩家,这个“无罪的净土”，还有“净化”……好像不是《圣典》里的东西？,"This ""Innocent Land"" and ""Purification""... they don't appear to be from the ""Scripture""?"
AvgDialog_38727_Content_10,aktJ,avgV1.3萨尔瓦多大型支线_AvgDialog_C_M.csv,94,AvgDialog,Content,奥吉尔,确实，或许……是邪教？,Indeed. Perhaps... perhaps it is a cult?
AvgDialog_38727_Content_11,aktK,avgV1.3萨尔瓦多大型支线_AvgDialog_C_M.csv,95,AvgDialog,Content,,无数画面在你脑海中浮现——手握匕首的少女，身穿黑纱的女人，拉伊疗养院深处永远不能开启的房间……,"Scenes flash in your mind—a girl with a dagger, a woman in a black veil, and a room deep within Rye Hospital that can never be opened..."
AvgDialog_38727_Content_12,aktL,avgV1.3萨尔瓦多大型支线_AvgDialog_C_M.csv,96,AvgDialog,Content,,这世上究竟还有多少和<Yellow:蹈海者>与<Yellow:提灯教会>一样的组织，又有多少人要成为它们的牺牲品？,"How many organizations like that of the <Yellow:Seafarers> and the <Yellow:Church of the Lightbearers> exist in this world, and how many more people will become their sacrifices?"
AvgDialog_38727_Content_13,aktM,avgV1.3萨尔瓦多大型支线_AvgDialog_C_M.csv,97,AvgDialog,Content,玩家,"主教阁下，请问爱德华有没有对你说过什么？
其他宗教也好，古老信仰也好，哪怕是民俗传说也行。","Your Excellency, has Edward ever mentioned anything to you?\nBe it about other religions, ancient beliefs, or even folk legends?"
AvgDialog_38727_Content_14,aktN,avgV1.3萨尔瓦多大型支线_AvgDialog_C_M.csv,98,AvgDialog,Content,,萨尔瓦多放下手帕，他转向你，尽管双眼被蒙在纱布下，你仍然能感受到他的注视。,"Salvador puts down the handkerchief, turning toward. Despite his eyes being covered with a black gauze, you can still feel his discerning gaze."
AvgDialog_38727_Content_15,aktO,avgV1.3萨尔瓦多大型支线_AvgDialog_C_M.csv,99,AvgDialog,Content,萨尔瓦多,如果是的话，你们打算调查这件事吗？,If so... Do you plan to investigate this matter?
AvgDialog_38727_Content_16,aktP,avgV1.3萨尔瓦多大型支线_AvgDialog_C_M.csv,100,AvgDialog,Content,玩家,"是的。我……与类似的组织有过接触，我知道它们有多危险。
如果可以的话，我不希望看到更多受害者出现。","Yes. I... have had contact with similar organizations, I know how dangerous they can be.\nI would rather like to not see any more victims in cases such as these."
AvgDialog_38727_Content_17,aktQ,avgV1.3萨尔瓦多大型支线_AvgDialog_C_M.csv,101,AvgDialog,Content,萨尔瓦多,"你有一个明亮的灵魂，%player%，温暖、坚强、令人钦佩。
愿父神的光照耀于你，如它照耀着所有<Yellow:弥萨格>的成员。","You have a bright soul, %player%, warm, strong, and admirable.\nMay the light of the Father shine upon you, as it does upon all members of <Yellow:Mythag>."
AvgDialog_38727_Content_18,aktR,avgV1.3萨尔瓦多大型支线_AvgDialog_C_M.csv,102,AvgDialog,Content,玩家,你怎么知道——,How did you—
AvgDialog_38727_Content_19,aktS,avgV1.3萨尔瓦多大型支线_AvgDialog_C_M.csv,103,AvgDialog,Content,萨尔瓦多,前任主教是我的朋友，他掌管圣堂教区数十年，知道很多事情。,The former bishop was my friend. He managed the Church for decades. He knew a great many things.
AvgDialog_38727_Content_20,aktU,avgV1.3萨尔瓦多大型支线_AvgDialog_C_M.csv,104,AvgDialog,Content,萨尔瓦多,我会尽力帮助你们，但恐怕我了解得不比你们多多少。,"I will do my best to assist, but I'm afraid I know of little else."
AvgDialog_38727_Content_21,aktV,avgV1.3萨尔瓦多大型支线_AvgDialog_C_M.csv,105,AvgDialog,Content,萨尔瓦多,事实上，爱德华并不是这个神秘宗教的第一个受害者。,"...Come to think of it, Edward was not the first victim of this sort of... cult."
AvgDialog_38727_Content_22,aktW,avgV1.3萨尔瓦多大型支线_AvgDialog_C_M.csv,106,AvgDialog,Content,萨尔瓦多,半年前，圣堂区一个叫菲利普的年轻人，因为杀害他的妻子而被判死刑。,"Half a year ago, a young man named Philip in the Church District was sentenced to death for murdering his wife."
AvgDialog_38727_Content_23,aktX,avgV1.3萨尔瓦多大型支线_AvgDialog_C_M.csv,107,AvgDialog,Content,,"他刚被抓进去时，我应典狱长的邀前去探望过他。
他很苍白，非常消瘦，拒绝与任何人沟通。","When he was first imprisoned, I visited him at the warden's invitation.\nHe was pale, extremely thin, and refused to communicate with anyone."
AvgDialog_38727_Content_24,aktY,avgV1.3萨尔瓦多大型支线_AvgDialog_C_M.csv,108,AvgDialog,Content,,我陪他坐了一天，在我走的时候，他说了那天唯一一句话。,"I sat with him all day, and as I was leaving, he said the only words he had spoken that day."
AvgDialog_38727_Content_25,aktZ,avgV1.3萨尔瓦多大型支线_AvgDialog_C_M.csv,109,AvgDialog,Content,,“你看到了吗，那黑色的<Red:血液>？”,"""Do you see all that black <Red:blood>?"""
AvgDialog_38727_Content_26,akua,avgV1.3萨尔瓦多大型支线_AvgDialog_C_M.csv,110,AvgDialog,Content,,在行刑之前，他自杀了。,"Before his execution took place, he took his own life."
AvgDialog_38727_Content_27,akub,avgV1.3萨尔瓦多大型支线_AvgDialog_C_M.csv,111,AvgDialog,Content,,整个房间都是血，地上、墙上、天花板上，光是站在那里，就足以让人感到窒息。在重重的血迹下，我发现了一个诡异的符号。,"The entire room was covered in blood—on the floor, walls, and the ceiling. Just standing there was enough to make one feel suffocated by the gore. Yet beneath all the gruesome bloodstains, I discovered a strange symbol."
AvgDialog_38727_Content_28,akuc,avgV1.3萨尔瓦多大型支线_AvgDialog_C_M.csv,112,AvgDialog,Content,,它很浅、很小，像是被人指甲刻出来的。如果不是血液渗入缝隙，恐怕没有人会注意到。,"It was shallow and small, as if scratched by a fingernail. If not for the blood seeping into the crevice, I might not have noticed it."
AvgDialog_38727_Content_29,akud,avgV1.3萨尔瓦多大型支线_AvgDialog_C_M.csv,113,AvgDialog,Content,,在符号的旁边，还有一个更浅的痕迹。,"Next to the symbol, there was an even fainter mark."
